fold,repeat,feature,feature_type,delta_auc,delta_accuracy,delta_brier
1,8,Vx,Kinematic,0.04166666666666674,0.16666666666666663,0.08147100726422618
1,8,Vy,Kinematic,0.05555555555555558,0.125,0.13540540318060412
1,8,Ax,Kinematic,-0.01388888888888884,-0.04166666666666663,-0.011322341809310459
1,8,Ay,Kinematic,0.01388888888888884,0.04166666666666663,0.035600066975106856
1,8,Jx,Kinematic,0.01388888888888895,0.0,0.01808833900951201
1,8,Jy,Kinematic,-0.01388888888888884,-0.04166666666666663,-0.008009971157036298
1,8,Age,Demographic,0.0,0.0,0.00016265138426455744
1,8,Gender,Demographic,0.0,0.0,1.7394747684244816e-05
2,1,X,Kinematic,0.04195804195804198,0.125,0.08453848307031891
2,1,Y,Kinematic,0.14685314685314677,0.08333333333333337,0.0687906760302219
2,1,Pressure,Kinematic,0.0,0.0,-0.018042757528202336
2,1,Azimuth,Kinematic,-0.006993006993006978,0.0,-0.020017943987750267
2,1,Tilt,Kinematic,0.020979020979020935,0.04166666666666663,0.004509456786100402
2,1,PenStatus,Kinematic,-0.006993006993006978,0.0,-0.008571293069403074
2,1,Vx,Kinematic,-0.0699300699300699,-0.08333333333333337,-0.09587107901360188
2,1,Vy,Kinematic,0.1048951048951049,0.08333333333333337,0.05532226729014669
2,1,Ax,Kinematic,-0.027972027972027913,0.04166666666666663,0.002950830546176314
2,1,Ay,Kinematic,0.0,0.04166666666666663,0.0030832948259113258
2,1,Jx,Kinematic,-0.013986013986013957,0.04166666666666663,0.005020884364695805
2,1,Jy,Kinematic,0.04195804195804198,0.04166666666666663,0.021150225508754422
2,1,Age,Demographic,0.0,0.0,0.00016139510602719565
2,1,Gender,Demographic,0.006993006993006978,0.0,0.004047086222982582
2,2,X,Kinematic,0.03496503496503489,0.125,0.08101415271411946
2,2,Y,Kinematic,0.09790209790209792,0.08333333333333337,0.05765063855998345
2,2,Pressure,Kinematic,-0.020979020979020935,0.04166666666666663,0.0314467796681929
2,2,Azimuth,Kinematic,-1.1102230246251565e-16,-0.04166666666666663,-0.02257259675528407
2,2,Tilt,Kinematic,0.04195804195804198,0.04166666666666663,0.01712306464511376
2,2,PenStatus,Kinematic,-0.006993006993006978,0.0,-0.010690190954681197
2,2,Vx,Kinematic,0.006993006993006978,0.04166666666666663,0.0013969305258580422
2,2,Vy,Kinematic,0.05594405594405594,0.125,0.048379575670379565
2,2,Ax,Kinematic,-0.020979020979020935,0.0,-0.005061842228051505
2,2,Ay,Kinematic,0.006993006993007089,0.0,-0.02221548250775747
2,2,Jx,Kinematic,-0.013986013986013957,0.0,-0.007270428733226766
2,2,Jy,Kinematic,0.020979020979021046,0.0,0.002676217213305937
2,2,Age,Demographic,-0.006993006993006978,0.0,-0.0011533103157998353
2,2,Gender,Demographic,0.006993006993006978,0.0,0.00024366019567748087
2,3,X,Kinematic,0.013986013986014068,0.08333333333333337,0.08700379706907199
2,3,Y,Kinematic,0.11888111888111896,0.125,0.09291864950884338
2,3,Pressure,Kinematic,0.006993006993006978,0.0,0.004246511531492747
2,3,Azimuth,Kinematic,-0.020979020979020935,0.0,0.014791156080496831
2,3,Tilt,Kinematic,0.013986013986013957,0.0,-0.002959078008315283
2,3,PenStatus,Kinematic,-0.006993006993006978,0.0,-0.016330650261858218
2,3,Vx,Kinematic,0.027972027972028024,0.08333333333333337,0.04177472260484233
2,3,Vy,Kinematic,0.027972027972028024,0.08333333333333337,0.0032004016509416533
2,3,Ax,Kinematic,-0.027972027972027913,0.04166666666666663,-0.0014794655650898353
2,3,Ay,Kinematic,-0.006993006993006867,0.04166666666666663,-0.006559619969794497
2,3,Jx,Kinematic,-0.027972027972027913,0.04166666666666663,-0.02353899881779488
2,3,Jy,Kinematic,-0.03496503496503489,0.0,-0.019321466290819822
2,3,Age,Demographic,0.0,0.0,-0.0010074276433466173
2,3,Gender,Demographic,0.006993006993006978,0.0,0.0016819856417604473
2,4,X,Kinematic,0.027972027972028024,0.08333333333333337,0.09078615396112497
2,4,Y,Kinematic,0.06293706293706303,0.04166666666666663,0.024773254843742043
2,4,Pressure,Kinematic,0.013986013986013957,0.0,0.009835807200878871
2,4,Azimuth,Kinematic,-0.006993006993006978,-0.04166666666666663,-0.02436338848088558
2,4,Tilt,Kinematic,0.034965034965035,0.0,0.010247805395201953
2,4,PenStatus,Kinematic,0.013986013986014068,0.0,-0.009335623837215298
2,4,Vx,Kinematic,-0.006993006993006978,0.08333333333333337,0.012047372924340022
2,4,Vy,Kinematic,0.09090909090909094,0.08333333333333337,0.05392744544016434
2,4,Ax,Kinematic,0.006993006993006978,0.0,-0.0015296506046236225
2,4,Ay,Kinematic,0.034965034965035,0.04166666666666663,0.007309631964397489
2,4,Jx,Kinematic,-0.027972027972027913,0.0,-0.007492774841849167
2,4,Jy,Kinematic,0.013986013986014068,0.08333333333333337,0.039175460682254
2,4,Age,Demographic,0.0,0.0,-0.0002676992640440745
2,4,Gender,Demographic,0.006993006993006978,0.0,0.00024124107848824683
2,5,X,Kinematic,0.06293706293706292,0.08333333333333337,0.04028377389677626
2,5,Y,Kinematic,0.12587412587412583,0.04166666666666663,0.022258790889214175
2,5,Pressure,Kinematic,-0.04895104895104885,0.0,0.000985508098011817
2,5,Azimuth,Kinematic,-0.020979020979020935,-0.04166666666666663,-0.01970056228411371
2,5,Tilt,Kinematic,-0.006993006993006978,0.0,-0.009100970079689727
2,5,PenStatus,Kinematic,-0.013986013986013957,-0.04166666666666663,-0.019237732864033782
2,5,Vx,Kinematic,0.020979020979021046,0.125,0.0648199425757636
2,5,Vy,Kinematic,0.16083916083916094,0.20833333333333337,0.13117484863474071
2,5,Ax,Kinematic,0.013986013986014068,0.0,0.0014399482146579268
2,5,Ay,Kinematic,-0.034965034965035,0.04166666666666663,-0.038671110104940176
2,5,Jx,Kinematic,-0.03496503496503489,0.04166666666666663,-0.014166229139253153
2,5,Jy,Kinematic,-0.04195804195804198,0.0,-0.03932771550797319
2,5,Age,Demographic,0.0,0.0,0.0006170640079518341
2,5,Gender,Demographic,0.0,0.0,-5.786675003910391e-05
2,6,X,Kinematic,0.020979020979021046,0.04166666666666663,0.029938939379800467
2,6,Y,Kinematic,0.06293706293706292,0.04166666666666663,0.025655083058602313
2,6,Pressure,Kinematic,0.020979020979021046,0.08333333333333337,0.05250240622403618
2,6,Azimuth,Kinematic,-0.013986013986014068,0.0,-0.01990128840381812
2,6,Tilt,Kinematic,-0.020979020979020935,0.0,-0.004949633727730995
2,6,PenStatus,Kinematic,-0.020979020979020935,0.0,-0.010403074734567697
2,6,Vx,Kinematic,1.1102230246251565e-16,0.125,0.04749805077346855
2,6,Vy,Kinematic,0.06993006993007,0.04166666666666663,0.03422923796388708
2,6,Ax,Kinematic,-0.020979020979020935,0.0,-0.005467849532575078
2,6,Ay,Kinematic,-0.020979020979020935,0.04166666666666663,-0.0025613747272179715
2,6,Jx,Kinematic,-0.027972027972027802,0.04166666666666663,-0.001494415841538213
2,6,Jy,Kinematic,0.0,0.04166666666666663,0.01695552380489182
2,6,Age,Demographic,0.0,0.0,0.0005301743926658109
2,6,Gender,Demographic,0.006993006993006978,0.0,0.0024309734278037953
2,7,X,Kinematic,0.04895104895104896,0.08333333333333337,0.04455404541200017
2,7,Y,Kinematic,0.11888111888111885,0.08333333333333337,0.07218211051725712
2,7,Pressure,Kinematic,0.06293706293706292,0.0,-0.0023784353232591954
2,7,Azimuth,Kinematic,-0.006993006993006978,-0.04166666666666663,-0.023541307213935866
2,7,Tilt,Kinematic,0.0699300699300699,0.04166666666666663,0.009802619068545432
2,7,PenStatus,Kinematic,-0.006993006993006978,0.0,0.008549978351558685
2,7,Vx,Kinematic,0.013986013986014068,0.08333333333333337,0.05928006919324297
2,7,Vy,Kinematic,0.1398601398601399,0.25,0.17336047791308984
2,7,Ax,Kinematic,-0.027972027972027913,0.04166666666666663,0.0030812153521617147
2,7,Ay,Kinematic,1.1102230246251565e-16,0.08333333333333337,0.020928699041643267
